Name, Value, Epoch, Run
f_activation.alpha,0.41643717885017395,0,2
f_activation.beta,0.39911213517189026,0,2
layer1.0.f_activation.alpha,0.41643717885017395,0,2
layer1.0.f_activation.beta,0.39911213517189026,0,2
layer1.1.f_activation.alpha,0.41643717885017395,0,2
layer1.1.f_activation.beta,0.39911213517189026,0,2
layer2.0.f_activation.alpha,0.41643717885017395,0,2
layer2.0.f_activation.beta,0.39911213517189026,0,2
layer2.1.f_activation.alpha,0.41643717885017395,0,2
layer2.1.f_activation.beta,0.39911213517189026,0,2
layer3.0.f_activation.alpha,0.41643717885017395,0,2
layer3.0.f_activation.beta,0.39911213517189026,0,2
layer3.1.f_activation.alpha,0.41643717885017395,0,2
layer3.1.f_activation.beta,0.39911213517189026,0,2
layer4.0.f_activation.alpha,0.41643717885017395,0,2
layer4.0.f_activation.beta,0.39911213517189026,0,2
layer4.1.f_activation.alpha,0.41643717885017395,0,2
layer4.1.f_activation.beta,0.39911213517189026,0,2
f_activation.alpha,0.41369369626045227,1,2
f_activation.beta,0.4002874195575714,1,2
layer1.0.f_activation.alpha,0.41345301270484924,1,2
layer1.0.f_activation.beta,0.39914798736572266,1,2
layer1.1.f_activation.alpha,0.4126925468444824,1,2
layer1.1.f_activation.beta,0.3977561891078949,1,2
layer2.0.f_activation.alpha,0.41351500153541565,1,2
layer2.0.f_activation.beta,0.39718347787857056,1,2
layer2.1.f_activation.alpha,0.4143553078174591,1,2
layer2.1.f_activation.beta,0.39725595712661743,1,2
layer3.0.f_activation.alpha,0.4139392673969269,1,2
layer3.0.f_activation.beta,0.39615654945373535,1,2
layer3.1.f_activation.alpha,0.41517072916030884,1,2
layer3.1.f_activation.beta,0.39756274223327637,1,2
layer4.0.f_activation.alpha,0.4149203896522522,1,2
layer4.0.f_activation.beta,0.4015294909477234,1,2
layer4.1.f_activation.alpha,0.42107945680618286,1,2
layer4.1.f_activation.beta,0.4033747911453247,1,2
f_activation.alpha,0.41253000497817993,2,2
f_activation.beta,0.4007062613964081,2,2
layer1.0.f_activation.alpha,0.4106234014034271,2,2
layer1.0.f_activation.beta,0.3982751667499542,2,2
layer1.1.f_activation.alpha,0.41034847497940063,2,2
layer1.1.f_activation.beta,0.3959203064441681,2,2
layer2.0.f_activation.alpha,0.4115332067012787,2,2
layer2.0.f_activation.beta,0.3956400156021118,2,2
layer2.1.f_activation.alpha,0.41286981105804443,2,2
layer2.1.f_activation.beta,0.3960937261581421,2,2
layer3.0.f_activation.alpha,0.41306352615356445,2,2
layer3.0.f_activation.beta,0.3945099413394928,2,2
layer3.1.f_activation.alpha,0.41567131876945496,2,2
layer3.1.f_activation.beta,0.39786240458488464,2,2
layer4.0.f_activation.alpha,0.4183636009693146,2,2
layer4.0.f_activation.beta,0.40505552291870117,2,2
layer4.1.f_activation.alpha,0.42619359493255615,2,2
layer4.1.f_activation.beta,0.4083385169506073,2,2
f_activation.alpha,0.41137364506721497,3,2
f_activation.beta,0.4013575613498688,3,2
layer1.0.f_activation.alpha,0.40792444348335266,3,2
layer1.0.f_activation.beta,0.3970922827720642,3,2
layer1.1.f_activation.alpha,0.4082551896572113,3,2
layer1.1.f_activation.beta,0.39381688833236694,3,2
layer2.0.f_activation.alpha,0.4101659059524536,3,2
layer2.0.f_activation.beta,0.39436376094818115,3,2
layer2.1.f_activation.alpha,0.41229188442230225,3,2
layer2.1.f_activation.beta,0.39576074481010437,3,2
layer3.0.f_activation.alpha,0.41364237666130066,3,2
layer3.0.f_activation.beta,0.39462849497795105,3,2
layer3.1.f_activation.alpha,0.41709527373313904,3,2
layer3.1.f_activation.beta,0.39964136481285095,3,2
layer4.0.f_activation.alpha,0.42369344830513,3,2
layer4.0.f_activation.beta,0.40950292348861694,3,2
layer4.1.f_activation.alpha,0.4321329593658447,3,2
layer4.1.f_activation.beta,0.4141731858253479,3,2
f_activation.alpha,0.4099106788635254,4,2
f_activation.beta,0.4021563231945038,4,2
layer1.0.f_activation.alpha,0.4057387709617615,4,2
layer1.0.f_activation.beta,0.39584586024284363,4,2
layer1.1.f_activation.alpha,0.4063170552253723,4,2
layer1.1.f_activation.beta,0.3916108310222626,4,2
layer2.0.f_activation.alpha,0.4091606140136719,4,2
layer2.0.f_activation.beta,0.3936716318130493,4,2
layer2.1.f_activation.alpha,0.41223815083503723,4,2
layer2.1.f_activation.beta,0.39637088775634766,4,2
layer3.0.f_activation.alpha,0.4153675138950348,4,2
layer3.0.f_activation.beta,0.3968316912651062,4,2
layer3.1.f_activation.alpha,0.4195619523525238,4,2
layer3.1.f_activation.beta,0.4036079943180084,4,2
layer4.0.f_activation.alpha,0.43116867542266846,4,2
layer4.0.f_activation.beta,0.4166775941848755,4,2
layer4.1.f_activation.alpha,0.43977370858192444,4,2
layer4.1.f_activation.beta,0.42173251509666443,4,2
f_activation.alpha,0.4087924063205719,5,2
f_activation.beta,0.40331023931503296,5,2
layer1.0.f_activation.alpha,0.404153972864151,5,2
layer1.0.f_activation.beta,0.395151823759079,5,2
layer1.1.f_activation.alpha,0.4046935439109802,5,2
layer1.1.f_activation.beta,0.3898797929286957,5,2
layer2.0.f_activation.alpha,0.40882936120033264,5,2
layer2.0.f_activation.beta,0.39395830035209656,5,2
layer2.1.f_activation.alpha,0.4133976399898529,5,2
layer2.1.f_activation.beta,0.39862731099128723,5,2
layer3.0.f_activation.alpha,0.41939660906791687,5,2
layer3.0.f_activation.beta,0.4014083445072174,5,2
layer3.1.f_activation.alpha,0.4237995445728302,5,2
layer3.1.f_activation.beta,0.41045019030570984,5,2
layer4.0.f_activation.alpha,0.4416576027870178,5,2
layer4.0.f_activation.beta,0.4263822138309479,5,2
layer4.1.f_activation.alpha,0.44956812262535095,5,2
layer4.1.f_activation.beta,0.4314020574092865,5,2
f_activation.alpha,0.40849509835243225,6,2
f_activation.beta,0.40470466017723083,6,2
layer1.0.f_activation.alpha,0.40337735414505005,6,2
layer1.0.f_activation.beta,0.3941604793071747,6,2
layer1.1.f_activation.alpha,0.4032980799674988,6,2
layer1.1.f_activation.beta,0.3895117938518524,6,2
layer2.0.f_activation.alpha,0.4113008677959442,6,2
layer2.0.f_activation.beta,0.3963465690612793,6,2
layer2.1.f_activation.alpha,0.4161321818828583,6,2
layer2.1.f_activation.beta,0.4027844965457916,6,2
layer3.0.f_activation.alpha,0.4254934787750244,6,2
layer3.0.f_activation.beta,0.41022905707359314,6,2
layer3.1.f_activation.alpha,0.4305356740951538,6,2
layer3.1.f_activation.beta,0.42094117403030396,6,2
layer4.0.f_activation.alpha,0.45529356598854065,6,2
layer4.0.f_activation.beta,0.43966755270957947,6,2
layer4.1.f_activation.alpha,0.46196550130844116,6,2
layer4.1.f_activation.beta,0.4436644911766052,6,2
f_activation.alpha,0.40813079476356506,7,2
f_activation.beta,0.40624359250068665,7,2
layer1.0.f_activation.alpha,0.40299728512763977,7,2
layer1.0.f_activation.beta,0.3942784368991852,7,2
layer1.1.f_activation.alpha,0.4034683108329773,7,2
layer1.1.f_activation.beta,0.39026278257369995,7,2
layer2.0.f_activation.alpha,0.41429683566093445,7,2
layer2.0.f_activation.beta,0.4012637138366699,7,2
layer2.1.f_activation.alpha,0.4202640950679779,7,2
layer2.1.f_activation.beta,0.4100055694580078,7,2
layer3.0.f_activation.alpha,0.435122013092041,7,2
layer3.0.f_activation.beta,0.42188602685928345,7,2
layer3.1.f_activation.alpha,0.4400290846824646,7,2
layer3.1.f_activation.beta,0.4345382750034332,7,2
layer4.0.f_activation.alpha,0.47285428643226624,7,2
layer4.0.f_activation.beta,0.45669984817504883,7,2
layer4.1.f_activation.alpha,0.4776250422000885,7,2
layer4.1.f_activation.beta,0.4590284824371338,7,2
f_activation.alpha,0.40881627798080444,8,2
f_activation.beta,0.40656542778015137,8,2
layer1.0.f_activation.alpha,0.4052281677722931,8,2
layer1.0.f_activation.beta,0.39521312713623047,8,2
layer1.1.f_activation.alpha,0.4048207998275757,8,2
layer1.1.f_activation.beta,0.3926793932914734,8,2
layer2.0.f_activation.alpha,0.4206621050834656,8,2
layer2.0.f_activation.beta,0.4086562991142273,8,2
layer2.1.f_activation.alpha,0.42675256729125977,8,2
layer2.1.f_activation.beta,0.4192972779273987,8,2
layer3.0.f_activation.alpha,0.4489588737487793,8,2
layer3.0.f_activation.beta,0.4379349648952484,8,2
layer3.1.f_activation.alpha,0.4522953927516937,8,2
layer3.1.f_activation.beta,0.45216691493988037,8,2
layer4.0.f_activation.alpha,0.4942561984062195,8,2
layer4.0.f_activation.beta,0.4782138764858246,8,2
layer4.1.f_activation.alpha,0.4970181882381439,8,2
layer4.1.f_activation.beta,0.47805097699165344,8,2
f_activation.alpha,0.41166484355926514,9,2
f_activation.beta,0.4092835485935211,9,2
layer1.0.f_activation.alpha,0.40734800696372986,9,2
layer1.0.f_activation.beta,0.3969093859195709,9,2
layer1.1.f_activation.alpha,0.4089410901069641,9,2
layer1.1.f_activation.beta,0.39640098810195923,9,2
layer2.0.f_activation.alpha,0.4276265799999237,9,2
layer2.0.f_activation.beta,0.4168965816497803,9,2
layer2.1.f_activation.alpha,0.4366722106933594,9,2
layer2.1.f_activation.beta,0.43206775188446045,9,2
layer3.0.f_activation.alpha,0.465073823928833,9,2
layer3.0.f_activation.beta,0.457839697599411,9,2
layer3.1.f_activation.alpha,0.4703357517719269,9,2
layer3.1.f_activation.beta,0.4731740951538086,9,2
layer4.0.f_activation.alpha,0.5196839570999146,9,2
layer4.0.f_activation.beta,0.5039989352226257,9,2
layer4.1.f_activation.alpha,0.5191268920898438,9,2
layer4.1.f_activation.beta,0.4999639391899109,9,2
f_activation.alpha,0.41443583369255066,10,2
f_activation.beta,0.4129043221473694,10,2
layer1.0.f_activation.alpha,0.4108787775039673,10,2
layer1.0.f_activation.beta,0.4014941155910492,10,2
layer1.1.f_activation.alpha,0.4116854667663574,10,2
layer1.1.f_activation.beta,0.4032449722290039,10,2
layer2.0.f_activation.alpha,0.4369869828224182,10,2
layer2.0.f_activation.beta,0.4314252734184265,10,2
layer2.1.f_activation.alpha,0.4464086592197418,10,2
layer2.1.f_activation.beta,0.44962480664253235,10,2
layer3.0.f_activation.alpha,0.48608162999153137,10,2
layer3.0.f_activation.beta,0.47992992401123047,10,2
layer3.1.f_activation.alpha,0.48963671922683716,10,2
layer3.1.f_activation.beta,0.4982518255710602,10,2
layer4.0.f_activation.alpha,0.5500831007957458,10,2
layer4.0.f_activation.beta,0.5332080721855164,10,2
layer4.1.f_activation.alpha,0.5451198816299438,10,2
layer4.1.f_activation.beta,0.5254404544830322,10,2
f_activation.alpha,0.4178001880645752,11,2
f_activation.beta,0.41556450724601746,11,2
layer1.0.f_activation.alpha,0.4161725342273712,11,2
layer1.0.f_activation.beta,0.40833839774131775,11,2
layer1.1.f_activation.alpha,0.41784176230430603,11,2
layer1.1.f_activation.beta,0.4115499258041382,11,2
layer2.0.f_activation.alpha,0.4469235837459564,11,2
layer2.0.f_activation.beta,0.4472387433052063,11,2
layer2.1.f_activation.alpha,0.4610883891582489,11,2
layer2.1.f_activation.beta,0.4691738188266754,11,2
layer3.0.f_activation.alpha,0.5071845054626465,11,2
layer3.0.f_activation.beta,0.5051698684692383,11,2
layer3.1.f_activation.alpha,0.5134696960449219,11,2
layer3.1.f_activation.beta,0.5261044502258301,11,2
layer4.0.f_activation.alpha,0.5842524766921997,11,2
layer4.0.f_activation.beta,0.5663999319076538,11,2
layer4.1.f_activation.alpha,0.5728566646575928,11,2
layer4.1.f_activation.beta,0.5523626804351807,11,2
f_activation.alpha,0.4259594678878784,12,2
f_activation.beta,0.41818350553512573,12,2
layer1.0.f_activation.alpha,0.42091530561447144,12,2
layer1.0.f_activation.beta,0.41567346453666687,12,2
layer1.1.f_activation.alpha,0.42402252554893494,12,2
layer1.1.f_activation.beta,0.4204477369785309,12,2
layer2.0.f_activation.alpha,0.46019935607910156,12,2
layer2.0.f_activation.beta,0.4621046185493469,12,2
layer2.1.f_activation.alpha,0.47445762157440186,12,2
layer2.1.f_activation.beta,0.488837331533432,12,2
layer3.0.f_activation.alpha,0.5354090929031372,12,2
layer3.0.f_activation.beta,0.532800018787384,12,2
layer3.1.f_activation.alpha,0.539573073387146,12,2
layer3.1.f_activation.beta,0.5536282658576965,12,2
layer4.0.f_activation.alpha,0.6235876083374023,12,2
layer4.0.f_activation.beta,0.6019744277000427,12,2
layer4.1.f_activation.alpha,0.596801221370697,12,2
layer4.1.f_activation.beta,0.5777273774147034,12,2
f_activation.alpha,0.4309229552745819,13,2
f_activation.beta,0.42162320017814636,13,2
layer1.0.f_activation.alpha,0.4269860088825226,13,2
layer1.0.f_activation.beta,0.4229135811328888,13,2
layer1.1.f_activation.alpha,0.4323746860027313,13,2
layer1.1.f_activation.beta,0.42832550406455994,13,2
layer2.0.f_activation.alpha,0.4717941880226135,13,2
layer2.0.f_activation.beta,0.4797261655330658,13,2
layer2.1.f_activation.alpha,0.4893527328968048,13,2
layer2.1.f_activation.beta,0.5120546221733093,13,2
layer3.0.f_activation.alpha,0.5659899711608887,13,2
layer3.0.f_activation.beta,0.5541974902153015,13,2
layer3.1.f_activation.alpha,0.5664352774620056,13,2
layer3.1.f_activation.beta,0.5832256078720093,13,2
layer4.0.f_activation.alpha,0.6657884120941162,13,2
layer4.0.f_activation.beta,0.638603925704956,13,2
layer4.1.f_activation.alpha,0.6172269582748413,13,2
layer4.1.f_activation.beta,0.5997318625450134,13,2
f_activation.alpha,0.4368361830711365,14,2
f_activation.beta,0.43000614643096924,14,2
layer1.0.f_activation.alpha,0.43329963088035583,14,2
layer1.0.f_activation.beta,0.43386220932006836,14,2
layer1.1.f_activation.alpha,0.4378606379032135,14,2
layer1.1.f_activation.beta,0.43943363428115845,14,2
layer2.0.f_activation.alpha,0.4859432578086853,14,2
layer2.0.f_activation.beta,0.49972909688949585,14,2
layer2.1.f_activation.alpha,0.5095809102058411,14,2
layer2.1.f_activation.beta,0.5367763638496399,14,2
layer3.0.f_activation.alpha,0.6007070541381836,14,2
layer3.0.f_activation.beta,0.5756613612174988,14,2
layer3.1.f_activation.alpha,0.5985605120658875,14,2
layer3.1.f_activation.beta,0.6151549816131592,14,2
layer4.0.f_activation.alpha,0.7130367755889893,14,2
layer4.0.f_activation.beta,0.6773015856742859,14,2
layer4.1.f_activation.alpha,0.6327082514762878,14,2
layer4.1.f_activation.beta,0.6164904832839966,14,2
f_activation.alpha,0.44331416487693787,15,2
f_activation.beta,0.4371829330921173,15,2
layer1.0.f_activation.alpha,0.4401337802410126,15,2
layer1.0.f_activation.beta,0.44264155626296997,15,2
layer1.1.f_activation.alpha,0.4484146237373352,15,2
layer1.1.f_activation.beta,0.448993057012558,15,2
layer2.0.f_activation.alpha,0.5016412138938904,15,2
layer2.0.f_activation.beta,0.5227096676826477,15,2
layer2.1.f_activation.alpha,0.5299435257911682,15,2
layer2.1.f_activation.beta,0.5560612678527832,15,2
layer3.0.f_activation.alpha,0.638118326663971,15,2
layer3.0.f_activation.beta,0.5942214131355286,15,2
layer3.1.f_activation.alpha,0.6342051029205322,15,2
layer3.1.f_activation.beta,0.6473899483680725,15,2
layer4.0.f_activation.alpha,0.7638253569602966,15,2
layer4.0.f_activation.beta,0.7137166857719421,15,2
layer4.1.f_activation.alpha,0.6414016485214233,15,2
layer4.1.f_activation.beta,0.6282803416252136,15,2
f_activation.alpha,0.4537853002548218,16,2
f_activation.beta,0.44550076127052307,16,2
layer1.0.f_activation.alpha,0.4493740499019623,16,2
layer1.0.f_activation.beta,0.4551467299461365,16,2
layer1.1.f_activation.alpha,0.45726844668388367,16,2
layer1.1.f_activation.beta,0.4622155427932739,16,2
layer2.0.f_activation.alpha,0.5179004669189453,16,2
layer2.0.f_activation.beta,0.543389618396759,16,2
layer2.1.f_activation.alpha,0.5505042672157288,16,2
layer2.1.f_activation.beta,0.5815520882606506,16,2
layer3.0.f_activation.alpha,0.6786041855812073,16,2
layer3.0.f_activation.beta,0.6049069166183472,16,2
layer3.1.f_activation.alpha,0.6729837656021118,16,2
layer3.1.f_activation.beta,0.6780429482460022,16,2
layer4.0.f_activation.alpha,0.8202451467514038,16,2
layer4.0.f_activation.beta,0.7506346106529236,16,2
layer4.1.f_activation.alpha,0.6473032236099243,16,2
layer4.1.f_activation.beta,0.6359618902206421,16,2
f_activation.alpha,0.46387484669685364,17,2
f_activation.beta,0.45214375853538513,17,2
layer1.0.f_activation.alpha,0.45551958680152893,17,2
layer1.0.f_activation.beta,0.47009748220443726,17,2
layer1.1.f_activation.alpha,0.46464747190475464,17,2
layer1.1.f_activation.beta,0.47786685824394226,17,2
layer2.0.f_activation.alpha,0.5347806811332703,17,2
layer2.0.f_activation.beta,0.5613953471183777,17,2
layer2.1.f_activation.alpha,0.5717049837112427,17,2
layer2.1.f_activation.beta,0.6051905751228333,17,2
layer3.0.f_activation.alpha,0.7217919230461121,17,2
layer3.0.f_activation.beta,0.604596734046936,17,2
layer3.1.f_activation.alpha,0.7145415544509888,17,2
layer3.1.f_activation.beta,0.7074072360992432,17,2
layer4.0.f_activation.alpha,0.8782386183738708,17,2
layer4.0.f_activation.beta,0.7804092764854431,17,2
layer4.1.f_activation.alpha,0.6505292057991028,17,2
layer4.1.f_activation.beta,0.6395096182823181,17,2
f_activation.alpha,0.46905654668807983,18,2
f_activation.beta,0.45828554034233093,18,2
layer1.0.f_activation.alpha,0.4621851444244385,18,2
layer1.0.f_activation.beta,0.4813188314437866,18,2
layer1.1.f_activation.alpha,0.4775077700614929,18,2
layer1.1.f_activation.beta,0.4873596131801605,18,2
layer2.0.f_activation.alpha,0.5539638996124268,18,2
layer2.0.f_activation.beta,0.5700212121009827,18,2
layer2.1.f_activation.alpha,0.5981422066688538,18,2
layer2.1.f_activation.beta,0.6198936104774475,18,2
layer3.0.f_activation.alpha,0.7686822414398193,18,2
layer3.0.f_activation.beta,0.599287211894989,18,2
layer3.1.f_activation.alpha,0.7587211728096008,18,2
layer3.1.f_activation.beta,0.7378531694412231,18,2
layer4.0.f_activation.alpha,0.9404427409172058,18,2
layer4.0.f_activation.beta,0.811173141002655,18,2
layer4.1.f_activation.alpha,0.6520137190818787,18,2
layer4.1.f_activation.beta,0.6355763673782349,18,2
f_activation.alpha,0.4817778468132019,19,2
f_activation.beta,0.46320176124572754,19,2
layer1.0.f_activation.alpha,0.47158366441726685,19,2
layer1.0.f_activation.beta,0.4925345778465271,19,2
layer1.1.f_activation.alpha,0.4906925857067108,19,2
layer1.1.f_activation.beta,0.5016493797302246,19,2
layer2.0.f_activation.alpha,0.5716854929924011,19,2
layer2.0.f_activation.beta,0.5874843597412109,19,2
layer2.1.f_activation.alpha,0.6194505095481873,19,2
layer2.1.f_activation.beta,0.6424519419670105,19,2
layer3.0.f_activation.alpha,0.8232119679450989,19,2
layer3.0.f_activation.beta,0.595432698726654,19,2
layer3.1.f_activation.alpha,0.8033271431922913,19,2
layer3.1.f_activation.beta,0.7655589580535889,19,2
layer4.0.f_activation.alpha,1.000569462776184,19,2
layer4.0.f_activation.beta,0.8411813974380493,19,2
layer4.1.f_activation.alpha,0.6531682014465332,19,2
layer4.1.f_activation.beta,0.6340439915657043,19,2
f_activation.alpha,0.49116143584251404,20,2
f_activation.beta,0.4749974310398102,20,2
layer1.0.f_activation.alpha,0.4828489422798157,20,2
layer1.0.f_activation.beta,0.5050181746482849,20,2
layer1.1.f_activation.alpha,0.49898654222488403,20,2
layer1.1.f_activation.beta,0.5147857666015625,20,2
layer2.0.f_activation.alpha,0.5870505571365356,20,2
layer2.0.f_activation.beta,0.5959651470184326,20,2
layer2.1.f_activation.alpha,0.6437491178512573,20,2
layer2.1.f_activation.beta,0.6558345556259155,20,2
layer3.0.f_activation.alpha,0.8768070340156555,20,2
layer3.0.f_activation.beta,0.5785955786705017,20,2
layer3.1.f_activation.alpha,0.8564800024032593,20,2
layer3.1.f_activation.beta,0.7875654697418213,20,2
layer4.0.f_activation.alpha,1.071764588356018,20,2
layer4.0.f_activation.beta,0.8730840086936951,20,2
layer4.1.f_activation.alpha,0.6533293724060059,20,2
layer4.1.f_activation.beta,0.6310549974441528,20,2
f_activation.alpha,0.5042898654937744,21,2
f_activation.beta,0.48000264167785645,21,2
layer1.0.f_activation.alpha,0.4962203800678253,21,2
layer1.0.f_activation.beta,0.515085756778717,21,2
layer1.1.f_activation.alpha,0.515203595161438,21,2
layer1.1.f_activation.beta,0.5273613929748535,21,2
layer2.0.f_activation.alpha,0.6082174181938171,21,2
layer2.0.f_activation.beta,0.6069374680519104,21,2
layer2.1.f_activation.alpha,0.6701085567474365,21,2
layer2.1.f_activation.beta,0.662359356880188,21,2
layer3.0.f_activation.alpha,0.9285600185394287,21,2
layer3.0.f_activation.beta,0.5607207417488098,21,2
layer3.1.f_activation.alpha,0.907382607460022,21,2
layer3.1.f_activation.beta,0.81672602891922,21,2
layer4.0.f_activation.alpha,1.1379166841506958,21,2
layer4.0.f_activation.beta,0.9007303714752197,21,2
layer4.1.f_activation.alpha,0.6511105895042419,21,2
layer4.1.f_activation.beta,0.6327089667320251,21,2
f_activation.alpha,0.5116063952445984,22,2
f_activation.beta,0.4905025362968445,22,2
layer1.0.f_activation.alpha,0.49712517857551575,22,2
layer1.0.f_activation.beta,0.5301368236541748,22,2
layer1.1.f_activation.alpha,0.5296048521995544,22,2
layer1.1.f_activation.beta,0.5452588200569153,22,2
layer2.0.f_activation.alpha,0.6254690885543823,22,2
layer2.0.f_activation.beta,0.6077044010162354,22,2
layer2.1.f_activation.alpha,0.6938963532447815,22,2
layer2.1.f_activation.beta,0.6717621684074402,22,2
layer3.0.f_activation.alpha,0.9818121194839478,22,2
layer3.0.f_activation.beta,0.5410054922103882,22,2
layer3.1.f_activation.alpha,0.957696795463562,22,2
layer3.1.f_activation.beta,0.8384976387023926,22,2
layer4.0.f_activation.alpha,1.2017632722854614,22,2
layer4.0.f_activation.beta,0.9231996536254883,22,2
layer4.1.f_activation.alpha,0.642357587814331,22,2
layer4.1.f_activation.beta,0.6275057196617126,22,2
f_activation.alpha,0.517909049987793,23,2
f_activation.beta,0.49380818009376526,23,2
layer1.0.f_activation.alpha,0.5082354545593262,23,2
layer1.0.f_activation.beta,0.5460420250892639,23,2
layer1.1.f_activation.alpha,0.5352354049682617,23,2
layer1.1.f_activation.beta,0.5630097985267639,23,2
layer2.0.f_activation.alpha,0.6455419063568115,23,2
layer2.0.f_activation.beta,0.6111833453178406,23,2
layer2.1.f_activation.alpha,0.7247320413589478,23,2
layer2.1.f_activation.beta,0.6729632616043091,23,2
layer3.0.f_activation.alpha,1.0352753400802612,23,2
layer3.0.f_activation.beta,0.516345739364624,23,2
layer3.1.f_activation.alpha,1.0093079805374146,23,2
layer3.1.f_activation.beta,0.8599404096603394,23,2
layer4.0.f_activation.alpha,1.2729213237762451,23,2
layer4.0.f_activation.beta,0.9538217186927795,23,2
layer4.1.f_activation.alpha,0.6434246301651001,23,2
layer4.1.f_activation.beta,0.6192203760147095,23,2
f_activation.alpha,0.5281471014022827,24,2
f_activation.beta,0.5069138407707214,24,2
layer1.0.f_activation.alpha,0.5164437294006348,24,2
layer1.0.f_activation.beta,0.5559467077255249,24,2
layer1.1.f_activation.alpha,0.5459948778152466,24,2
layer1.1.f_activation.beta,0.5695329904556274,24,2
layer2.0.f_activation.alpha,0.6645414233207703,24,2
layer2.0.f_activation.beta,0.6060553193092346,24,2
layer2.1.f_activation.alpha,0.7505932450294495,24,2
layer2.1.f_activation.beta,0.6813867092132568,24,2
layer3.0.f_activation.alpha,1.090914249420166,24,2
layer3.0.f_activation.beta,0.5024082064628601,24,2
layer3.1.f_activation.alpha,1.060907244682312,24,2
layer3.1.f_activation.beta,0.8904287219047546,24,2
layer4.0.f_activation.alpha,1.3331115245819092,24,2
layer4.0.f_activation.beta,0.9700505137443542,24,2
layer4.1.f_activation.alpha,0.6345780491828918,24,2
layer4.1.f_activation.beta,0.6154978275299072,24,2
f_activation.alpha,0.5396959781646729,25,2
f_activation.beta,0.5160509943962097,25,2
layer1.0.f_activation.alpha,0.5299057364463806,25,2
layer1.0.f_activation.beta,0.573696494102478,25,2
layer1.1.f_activation.alpha,0.55915367603302,25,2
